[ 2025-07-11 17:22:07,197 ] - 74 - INFO - Started data ingestion
[ 2025-07-11 17:24:07,732 ] - 52 - INFO - Spliiting the data as train and test set started
[ 2025-07-11 17:24:07,732 ] - 54 - INFO - Spliiting the data as train and test set ended
[ 2025-07-11 17:24:07,732 ] - 62 - INFO - Exporting train and test file path
[ 2025-07-11 17:24:08,036 ] - 65 - INFO - Exported train and test file path
[ 2025-07-11 17:24:08,129 ] - 33 - INFO - Number of columns 2
[ 2025-07-11 17:24:08,129 ] - 34 - INFO - Dataframe has 50 number of columns
[ 2025-07-11 17:24:08,129 ] - 33 - INFO - Number of columns 2
[ 2025-07-11 17:24:08,129 ] - 34 - INFO - Dataframe has 50 number of columns
[ 2025-07-11 17:24:08,264 ] - 23 - INFO - error occured in python script [D:\Network Security\networksecurity\utils\main_utils\utils.py] line number [20] error message [[Errno 13] Permission denied: 'Artifacts\\07_11_2025_17_22_05\\data_validation\\drift_report\\drift_report']
[ 2025-07-11 17:24:08,280 ] - 67 - INFO - error occured in python script [D:\Network Security\networksecurity\components\data_validation.py] line number [63] error message [error occured in python script [D:\Network Security\networksecurity\utils\main_utils\utils.py] line number [20] error message [[Errno 13] Permission denied: 'Artifacts\\07_11_2025_17_22_05\\data_validation\\drift_report\\drift_report']]
[ 2025-07-11 17:24:08,280 ] - 103 - INFO - error occured in python script [D:\Network Security\networksecurity\components\data_validation.py] line number [85] error message [error occured in python script [D:\Network Security\networksecurity\components\data_validation.py] line number [63] error message [error occured in python script [D:\Network Security\networksecurity\utils\main_utils\utils.py] line number [20] error message [[Errno 13] Permission denied: 'Artifacts\\07_11_2025_17_22_05\\data_validation\\drift_report\\drift_report']]]
[ 2025-07-11 17:24:08,280 ] - 22 - INFO - error occured in python script [D:\Network Security\main.py] line number [19] error message [error occured in python script [D:\Network Security\networksecurity\components\data_validation.py] line number [85] error message [error occured in python script [D:\Network Security\networksecurity\components\data_validation.py] line number [63] error message [error occured in python script [D:\Network Security\networksecurity\utils\main_utils\utils.py] line number [20] error message [[Errno 13] Permission denied: 'Artifacts\\07_11_2025_17_22_05\\data_validation\\drift_report\\drift_report']]]]
