[ 2025-07-16 15:45:25,085 ] - 74 - INFO - Started data ingestion
[ 2025-07-16 15:45:35,980 ] - 52 - INFO - Spliiting the data as train and test set started
[ 2025-07-16 15:45:35,980 ] - 54 - INFO - Spliiting the data as train and test set ended
[ 2025-07-16 15:45:35,980 ] - 62 - INFO - Exporting train and test file path
[ 2025-07-16 15:45:36,043 ] - 65 - INFO - Exported train and test file path
[ 2025-07-16 15:45:36,145 ] - 33 - INFO - Expected columns: 31, Found: 31
[ 2025-07-16 15:45:36,145 ] - 33 - INFO - Expected columns: 31, Found: 31
[ 2025-07-16 15:45:36,291 ] - 45 - INFO - Started the data transformation
[ 2025-07-16 15:45:36,352 ] - 49 - INFO - Separating input and output features
[ 2025-07-16 15:45:36,366 ] - 32 - INFO - Entered the get_data_transformer_object function
[ 2025-07-16 15:45:36,382 ] - 62 - INFO - Transformation on train and test input features done.
[ 2025-07-16 15:45:36,383 ] - 66 - INFO - Saving array and preprocessor object
[ 2025-07-16 15:45:36,383 ] - 128 - INFO - Getting train and test arrays file path
[ 2025-07-16 15:45:36,383 ] - 132 - INFO - Loading train and test array
[ 2025-07-16 15:45:36,406 ] - 136 - INFO - Separating independent and dependent variables
[ 2025-07-16 15:45:36,406 ] - 140 - INFO - Training model
[ 2025-07-16 15:52:40,280 ] - 87 - INFO - Evaluate model function done
[ 2025-07-16 15:52:40,280 ] - 92 - INFO - Got the best model.
[ 2025-07-16 15:52:40,483 ] - 96 - INFO - Tracking the experiment for train classification metrics
[ 2025-07-16 15:52:52,896 ] - 100 - INFO - Tracking the experiment for train classification metrics
[ 2025-07-16 15:53:00,750 ] - 103 - INFO - Got ClassificationMetricArtifact
[ 2025-07-16 15:53:00,750 ] - 106 - INFO - Loading preprocessor object
